Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3015 | games   640 | time 3s/300s
step 1120 | loss 0.1585 | games 71680 | time 161s/300s
step 1130 | loss 0.1358 | games 72320 | time 162s/300s
step 1140 | loss 0.1571 | games 72960 | time 163s/300s
step 1150 | loss 0.1634 | games 73600 | time 165s/300s
step 1160 | loss 0.1727 | games 74240 | time 166s/300s
step 1170 | loss 0.1636 | games 74880 | time 167s/300s
step 1180 | loss 0.1787 | games 75520 | time 169s/300s
step 1190 | loss 0.1599 | games 76160 | time 170s/300s
step 1200 | loss 0.1756 | games 76800 | time 172s/300s
step 1210 | loss 0.1481 | games 77440 | time 173s/300s
step 1220 | loss 0.1566 | games 78080 | time 174s/300s
step 1230 | loss 0.1806 | games 78720 | time 176s/300s
step 1240 | loss 0.2076 | games 79360 | time 177s/300s
step 1250 | loss 0.2025 | games 80000 | time 178s/300s
step 1260 | loss 0.1949 | games 80640 | time 180s/300s
step 1270 | loss 0.1831 | games 81280 | time 181s/300s
step 1280 | loss 0.1703 | games 81920 | time 182s/300s
step 1290 | loss 0.2133 | games 82560 | time 184s/300s
step 1300 | loss 0.1590 | games 83200 | time 185s/300s
step 1310 | loss 0.1652 | games 83840 | time 186s/300s
step 1320 | loss 0.1794 | games 84480 | time 188s/300s
step 1330 | loss 0.1914 | games 85120 | time 189s/300s
step 1340 | loss 0.1669 | games 85760 | time 190s/300s
step 1350 | loss 0.1794 | games 86400 | time 192s/300s
step 1360 | loss 0.1820 | games 87040 | time 193s/300s
step 1370 | loss 0.1676 | games 87680 | time 194s/300s
step 1380 | loss 0.1623 | games 88320 | time 196s/300s
step 1390 | loss 0.1772 | games 88960 | time 197s/300s
step 1400 | loss 0.2291 | games 89600 | time 198s/300s
step 1410 | loss 0.2093 | games 90240 | time 200s/300s
step 1420 | loss 0.2086 | games 90880 | time 201s/300s
step 1430 | loss 0.1876 | games 91520 | time 202s/300s
step 1440 | loss 0.1787 | games 92160 | time 204s/300s
step 1450 | loss 0.1691 | games 92800 | time 205s/300s
step 1460 | loss 0.1774 | games 93440 | time 206s/300s
step 1470 | loss 0.1646 | games 94080 | time 208s/300s
step 1480 | loss 0.1718 | games 94720 | time 209s/300s
step 1490 | loss 0.1884 | games 95360 | time 210s/300s
step 1500 | loss 0.1732 | games 96000 | time 212s/300s
step 1510 | loss 0.2019 | games 96640 | time 213s/300s
step 1520 | loss 0.1723 | games 97280 | time 215s/300s
step 1530 | loss 0.1854 | games 97920 | time 216s/300s
step 1540 | loss 0.1750 | games 98560 | time 217s/300s
step 1550 | loss 0.1829 | games 99200 | time 218s/300s
step 1560 | loss 0.1744 | games 99840 | time 220s/300s
step 1570 | loss 0.1604 | games 100480 | time 221s/300s
step 1580 | loss 0.1739 | games 101120 | time 223s/300s
step 1590 | loss 0.1658 | games 101760 | time 224s/300s
