Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4688 | games   640 | time 1s/300s
step 1400 | loss 0.2735 | games 89600 | time 92s/300s
step 1410 | loss 0.2735 | games 90240 | time 93s/300s
step 1420 | loss 0.3313 | games 90880 | time 93s/300s
step 1430 | loss 0.3097 | games 91520 | time 94s/300s
step 1440 | loss 0.3038 | games 92160 | time 95s/300s
step 1450 | loss 0.3354 | games 92800 | time 95s/300s
step 1460 | loss 0.3119 | games 93440 | time 96s/300s
step 1470 | loss 0.3277 | games 94080 | time 97s/300s
step 1480 | loss 0.3065 | games 94720 | time 97s/300s
step 1490 | loss 0.2919 | games 95360 | time 98s/300s
step 1500 | loss 0.2794 | games 96000 | time 98s/300s
step 1510 | loss 0.2963 | games 96640 | time 99s/300s
step 1520 | loss 0.3102 | games 97280 | time 100s/300s
step 1530 | loss 0.2998 | games 97920 | time 100s/300s
step 1540 | loss 0.2859 | games 98560 | time 101s/300s
step 1550 | loss 0.3038 | games 99200 | time 101s/300s
step 1560 | loss 0.2487 | games 99840 | time 102s/300s
step 1570 | loss 0.3398 | games 100480 | time 103s/300s
step 1580 | loss 0.3008 | games 101120 | time 103s/300s
step 1590 | loss 0.2934 | games 101760 | time 104s/300s
step 1600 | loss 0.2607 | games 102400 | time 105s/300s
step 1610 | loss 0.2577 | games 103040 | time 106s/300s
step 1620 | loss 0.2806 | games 103680 | time 107s/300s
step 1630 | loss 0.2789 | games 104320 | time 108s/300s
step 1640 | loss 0.2755 | games 104960 | time 108s/300s
step 1650 | loss 0.3002 | games 105600 | time 109s/300s
step 1660 | loss 0.2983 | games 106240 | time 110s/300s
step 1670 | loss 0.3180 | games 106880 | time 111s/300s
step 1680 | loss 0.3083 | games 107520 | time 111s/300s
step 1690 | loss 0.2908 | games 108160 | time 112s/300s
step 1700 | loss 0.3158 | games 108800 | time 113s/300s
step 1710 | loss 0.3109 | games 109440 | time 114s/300s
step 1720 | loss 0.3139 | games 110080 | time 114s/300s
step 1730 | loss 0.3779 | games 110720 | time 115s/300s
step 1740 | loss 0.3611 | games 111360 | time 116s/300s
step 1750 | loss 0.3132 | games 112000 | time 116s/300s
step 1760 | loss 0.3032 | games 112640 | time 117s/300s
step 1770 | loss 0.2924 | games 113280 | time 118s/300s
step 1780 | loss 0.2714 | games 113920 | time 118s/300s
step 1790 | loss 0.3127 | games 114560 | time 119s/300s
step 1800 | loss 0.2986 | games 115200 | time 120s/300s
step 1810 | loss 0.2961 | games 115840 | time 120s/300s
step 1820 | loss 0.2928 | games 116480 | time 121s/300s
step 1830 | loss 0.2994 | games 117120 | time 122s/300s
step 1840 | loss 0.3141 | games 117760 | time 122s/300s
step 1850 | loss 0.2879 | games 118400 | time 123s/300s
step 1860 | loss 0.2624 | games 119040 | time 123s/300s
step 1870 | loss 0.2677 | games 119680 | time 124s/300s
step 1880 | loss 0.2928 | games 120320 | time 125s/300s
step 1890 | loss 0.2705 | games 120960 | time 125s/300s
step 1900 | loss 0.2756 | games 121600 | time 126s/300s
step 1910 | loss 0.2963 | games 122240 | time 126s/300s
step 1920 | loss 0.2834 | games 122880 | time 127s/300s
step 1930 | loss 0.3447 | games 123520 | time 128s/300s
step 1940 | loss 0.3005 | games 124160 | time 128s/300s
step 1950 | loss 0.3043 | games 124800 | time 129s/300s
step 1960 | loss 0.2722 | games 125440 | time 129s/300s
step 1970 | loss 0.3070 | games 126080 | time 130s/300s
step 1980 | loss 0.2208 | games 126720 | time 131s/300s
step 1990 | loss 0.2781 | games 127360 | time 131s/300s
step 2000 | loss 0.3105 | games 128000 | time 132s/300s
step 2010 | loss 0.3164 | games 128640 | time 133s/300s
step 2020 | loss 0.3057 | games 129280 | time 133s/300s
step 2030 | loss 0.3353 | games 129920 | time 134s/300s
step 2040 | loss 0.2976 | games 130560 | time 134s/300s
step 2050 | loss 0.2999 | games 131200 | time 135s/300s
step 2060 | loss 0.2781 | games 131840 | time 136s/300s
step 2070 | loss 0.3054 | games 132480 | time 136s/300s
step 2080 | loss 0.2980 | games 133120 | time 137s/300s
step 2090 | loss 0.3334 | games 133760 | time 137s/300s
step 2100 | loss 0.2839 | games 134400 | time 138s/300s
step 2110 | loss 0.3014 | games 135040 | time 138s/300s
step 2120 | loss 0.2924 | games 135680 | time 139s/300s
step 2130 | loss 0.2784 | games 136320 | time 140s/300s
step 2140 | loss 0.2862 | games 136960 | time 140s/300s
step 2150 | loss 0.3064 | games 137600 | time 141s/300s
step 2160 | loss 0.3148 | games 138240 | time 142s/300s
step 2170 | loss 0.3254 | games 138880 | time 142s/300s
step 2180 | loss 0.2964 | games 139520 | time 143s/300s
step 2190 | loss 0.3133 | games 140160 | time 143s/300s
step 2200 | loss 0.3142 | games 140800 | time 144s/300s
step 2210 | loss 0.2956 | games 141440 | time 145s/300s
step 2220 | loss 0.2948 | games 142080 | time 145s/300s
step 2230 | loss 0.2938 | games 142720 | time 146s/300s
step 2240 | loss 0.2710 | games 143360 | time 146s/300s
step 2250 | loss 0.2973 | games 144000 | time 147s/300s
step 2260 | loss 0.2905 | games 144640 | time 148s/300s
step 2270 | loss 0.2835 | games 145280 | time 148s/300s
step 2280 | loss 0.2678 | games 145920 | time 149s/300s
step 2290 | loss 0.2440 | games 146560 | time 149s/300s
step 2300 | loss 0.2913 | games 147200 | time 150s/300s
step 2310 | loss 0.3003 | games 147840 | time 151s/300s
step 2320 | loss 0.2685 | games 148480 | time 151s/300s
step 2330 | loss 0.2599 | games 149120 | time 152s/300s
step 2340 | loss 0.3030 | games 149760 | time 152s/300s
step 2350 | loss 0.2987 | games 150400 | time 153s/300s
step 2360 | loss 0.3211 | games 151040 | time 154s/300s
step 2370 | loss 0.3334 | games 151680 | time 154s/300s
step 2380 | loss 0.3537 | games 152320 | time 155s/300s
step 2390 | loss 0.3351 | games 152960 | time 156s/300s
step 2400 | loss 0.3148 | games 153600 | time 156s/300s
step 2410 | loss 0.2963 | games 154240 | time 157s/300s
step 2420 | loss 0.2929 | games 154880 | time 158s/300s
step 2430 | loss 0.3031 | games 155520 | time 158s/300s
step 2440 | loss 0.3293 | games 156160 | time 159s/300s
step 2450 | loss 0.3272 | games 156800 | time 159s/300s
step 2460 | loss 0.3338 | games 157440 | time 160s/300s
step 2470 | loss 0.3229 | games 158080 | time 161s/300s
step 2480 | loss 0.3524 | games 158720 | time 161s/300s
step 2490 | loss 0.2841 | games 159360 | time 162s/300s
step 2500 | loss 0.3038 | games 160000 | time 163s/300s
step 2510 | loss 0.2958 | games 160640 | time 163s/300s
step 2520 | loss 0.3081 | games 161280 | time 164s/300s
step 2530 | loss 0.3247 | games 161920 | time 165s/300s
step 2540 | loss 0.3521 | games 162560 | time 165s/300s
step 2550 | loss 0.3344 | games 163200 | time 166s/300s
step 2560 | loss 0.3003 | games 163840 | time 166s/300s
step 2570 | loss 0.2978 | games 164480 | time 167s/300s
step 2580 | loss 0.2946 | games 165120 | time 167s/300s
step 2590 | loss 0.3021 | games 165760 | time 168s/300s
step 2600 | loss 0.3136 | games 166400 | time 169s/300s
step 2610 | loss 0.3243 | games 167040 | time 169s/300s
step 2620 | loss 0.3101 | games 167680 | time 170s/300s
step 2630 | loss 0.3256 | games 168320 | time 170s/300s
step 2640 | loss 0.3179 | games 168960 | time 171s/300s
