Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5253 | games   640 | time 1s/300s
step 1180 | loss 0.2644 | games 75520 | time 69s/300s
step 1190 | loss 0.2580 | games 76160 | time 69s/300s
step 1200 | loss 0.2671 | games 76800 | time 70s/300s
step 1210 | loss 0.3315 | games 77440 | time 70s/300s
step 1220 | loss 0.3096 | games 78080 | time 71s/300s
step 1230 | loss 0.2767 | games 78720 | time 71s/300s
step 1240 | loss 0.2575 | games 79360 | time 72s/300s
step 1250 | loss 0.2581 | games 80000 | time 72s/300s
step 1260 | loss 0.2720 | games 80640 | time 73s/300s
step 1270 | loss 0.2999 | games 81280 | time 74s/300s
step 1280 | loss 0.2643 | games 81920 | time 74s/300s
step 1290 | loss 0.2723 | games 82560 | time 75s/300s
step 1300 | loss 0.1941 | games 83200 | time 75s/300s
step 1310 | loss 0.2146 | games 83840 | time 76s/300s
step 1320 | loss 0.1633 | games 84480 | time 76s/300s
step 1330 | loss 0.1382 | games 85120 | time 77s/300s
step 1340 | loss 0.1414 | games 85760 | time 77s/300s
step 1350 | loss 0.2499 | games 86400 | time 77s/300s
step 1360 | loss 0.3169 | games 87040 | time 78s/300s
step 1370 | loss 0.1778 | games 87680 | time 78s/300s
step 1380 | loss 0.2205 | games 88320 | time 79s/300s
step 1390 | loss 0.1853 | games 88960 | time 79s/300s
step 1400 | loss 0.1854 | games 89600 | time 80s/300s
step 1410 | loss 0.1724 | games 90240 | time 80s/300s
step 1420 | loss 0.1856 | games 90880 | time 81s/300s
step 1430 | loss 0.1958 | games 91520 | time 81s/300s
step 1440 | loss 0.2094 | games 92160 | time 82s/300s
step 1450 | loss 0.1973 | games 92800 | time 82s/300s
step 1460 | loss 0.2307 | games 93440 | time 83s/300s
step 1470 | loss 0.3003 | games 94080 | time 83s/300s
step 1480 | loss 0.2345 | games 94720 | time 84s/300s
step 1490 | loss 0.2171 | games 95360 | time 84s/300s
step 1500 | loss 0.2421 | games 96000 | time 85s/300s
step 1510 | loss 0.2024 | games 96640 | time 85s/300s
step 1520 | loss 0.2250 | games 97280 | time 86s/300s
step 1530 | loss 0.2572 | games 97920 | time 86s/300s
step 1540 | loss 0.1862 | games 98560 | time 87s/300s
step 1550 | loss 0.2207 | games 99200 | time 87s/300s
step 1560 | loss 0.2237 | games 99840 | time 88s/300s
step 1570 | loss 0.2395 | games 100480 | time 88s/300s
step 1580 | loss 0.1993 | games 101120 | time 89s/300s
step 1590 | loss 0.2582 | games 101760 | time 89s/300s
step 1600 | loss 0.2160 | games 102400 | time 90s/300s
step 1610 | loss 0.2270 | games 103040 | time 90s/300s
step 1620 | loss 0.2469 | games 103680 | time 91s/300s
step 1630 | loss 0.3004 | games 104320 | time 91s/300s
step 1640 | loss 0.1659 | games 104960 | time 92s/300s
step 1650 | loss 0.1772 | games 105600 | time 92s/300s
step 1660 | loss 0.2056 | games 106240 | time 93s/300s
step 1670 | loss 0.2045 | games 106880 | time 93s/300s
step 1680 | loss 0.1912 | games 107520 | time 94s/300s
step 1690 | loss 0.1620 | games 108160 | time 94s/300s
step 1700 | loss 0.1641 | games 108800 | time 95s/300s
step 1710 | loss 0.1486 | games 109440 | time 95s/300s
step 1720 | loss 0.1983 | games 110080 | time 95s/300s
step 1730 | loss 0.2105 | games 110720 | time 96s/300s
step 1740 | loss 0.2622 | games 111360 | time 96s/300s
step 1750 | loss 0.2835 | games 112000 | time 97s/300s
step 1760 | loss 0.2595 | games 112640 | time 98s/300s
step 1770 | loss 0.2243 | games 113280 | time 98s/300s
step 1780 | loss 0.2199 | games 113920 | time 99s/300s
step 1790 | loss 0.3067 | games 114560 | time 99s/300s
step 1800 | loss 0.3267 | games 115200 | time 100s/300s
step 1810 | loss 0.2523 | games 115840 | time 100s/300s
step 1820 | loss 0.2408 | games 116480 | time 101s/300s
step 1830 | loss 0.2359 | games 117120 | time 101s/300s
step 1840 | loss 0.2538 | games 117760 | time 102s/300s
step 1850 | loss 0.2643 | games 118400 | time 102s/300s
step 1860 | loss 0.2898 | games 119040 | time 103s/300s
step 1870 | loss 0.3112 | games 119680 | time 103s/300s
step 1880 | loss 0.2931 | games 120320 | time 104s/300s
step 1890 | loss 0.2490 | games 120960 | time 105s/300s
step 1900 | loss 0.2793 | games 121600 | time 105s/300s
step 1910 | loss 0.2605 | games 122240 | time 106s/300s
step 1920 | loss 0.2360 | games 122880 | time 106s/300s
step 1930 | loss 0.2435 | games 123520 | time 107s/300s
step 1940 | loss 0.2586 | games 124160 | time 107s/300s
step 1950 | loss 0.2605 | games 124800 | time 108s/300s
step 1960 | loss 0.2375 | games 125440 | time 108s/300s
step 1970 | loss 0.2616 | games 126080 | time 109s/300s
step 1980 | loss 0.2728 | games 126720 | time 109s/300s
step 1990 | loss 0.2644 | games 127360 | time 110s/300s
step 2000 | loss 0.2872 | games 128000 | time 110s/300s
step 2010 | loss 0.3142 | games 128640 | time 111s/300s
step 2020 | loss 0.3194 | games 129280 | time 111s/300s
step 2030 | loss 0.2821 | games 129920 | time 112s/300s
step 2040 | loss 0.3040 | games 130560 | time 113s/300s
step 2050 | loss 0.3131 | games 131200 | time 113s/300s
step 2060 | loss 0.2844 | games 131840 | time 114s/300s
step 2070 | loss 0.3170 | games 132480 | time 114s/300s
step 2080 | loss 0.3094 | games 133120 | time 115s/300s
step 2090 | loss 0.2601 | games 133760 | time 115s/300s
step 2100 | loss 0.2874 | games 134400 | time 116s/300s
step 2110 | loss 0.2826 | games 135040 | time 116s/300s
step 2120 | loss 0.2541 | games 135680 | time 117s/300s
step 2130 | loss 0.2438 | games 136320 | time 117s/300s
step 2140 | loss 0.2701 | games 136960 | time 118s/300s
step 2150 | loss 0.2671 | games 137600 | time 119s/300s
step 2160 | loss 0.3102 | games 138240 | time 119s/300s
step 2170 | loss 0.2743 | games 138880 | time 120s/300s
step 2180 | loss 0.2803 | games 139520 | time 120s/300s
step 2190 | loss 0.3205 | games 140160 | time 121s/300s
step 2200 | loss 0.3177 | games 140800 | time 121s/300s
step 2210 | loss 0.2826 | games 141440 | time 122s/300s
step 2220 | loss 0.2925 | games 142080 | time 122s/300s
step 2230 | loss 0.3060 | games 142720 | time 123s/300s
step 2240 | loss 0.2948 | games 143360 | time 123s/300s
step 2250 | loss 0.2762 | games 144000 | time 124s/300s
step 2260 | loss 0.3185 | games 144640 | time 124s/300s
step 2270 | loss 0.3314 | games 145280 | time 125s/300s
step 2280 | loss 0.3311 | games 145920 | time 126s/300s
step 2290 | loss 0.3363 | games 146560 | time 126s/300s
step 2300 | loss 0.3172 | games 147200 | time 127s/300s
step 2310 | loss 0.3534 | games 147840 | time 127s/300s
step 2320 | loss 0.3396 | games 148480 | time 128s/300s
step 2330 | loss 0.3010 | games 149120 | time 129s/300s
step 2340 | loss 0.3202 | games 149760 | time 129s/300s
step 2350 | loss 0.3383 | games 150400 | time 130s/300s
step 2360 | loss 0.3049 | games 151040 | time 130s/300s
step 2370 | loss 0.2863 | games 151680 | time 131s/300s
step 2380 | loss 0.2773 | games 152320 | time 131s/300s
step 2390 | loss 0.3053 | games 152960 | time 132s/300s
step 2400 | loss 0.3092 | games 153600 | time 133s/300s
step 2410 | loss 0.2838 | games 154240 | time 133s/300s
step 2420 | loss 0.2843 | games 154880 | time 134s/300s
step 2430 | loss 0.2862 | games 155520 | time 134s/300s
step 2440 | loss 0.2679 | games 156160 | time 135s/300s
step 2450 | loss 0.2379 | games 156800 | time 135s/300s
step 2460 | loss 0.2730 | games 157440 | time 136s/300s
step 2470 | loss 0.2761 | games 158080 | time 136s/300s
step 2480 | loss 0.3074 | games 158720 | time 137s/300s
step 2490 | loss 0.2298 | games 159360 | time 137s/300s
step 2500 | loss 0.2623 | games 160000 | time 138s/300s
step 2510 | loss 0.2680 | games 160640 | time 139s/300s
step 2520 | loss 0.2360 | games 161280 | time 139s/300s
step 2530 | loss 0.2504 | games 161920 | time 140s/300s
step 2540 | loss 0.2301 | games 162560 | time 140s/300s
step 2550 | loss 0.2565 | games 163200 | time 141s/300s
step 2560 | loss 0.2718 | games 163840 | time 141s/300s
step 2570 | loss 0.2753 | games 164480 | time 142s/300s
step 2580 | loss 0.2475 | games 165120 | time 142s/300s
step 2590 | loss 0.2726 | games 165760 | time 143s/300s
step 2600 | loss 0.2604 | games 166400 | time 143s/300s
step 2610 | loss 0.2512 | games 167040 | time 144s/300s
step 2620 | loss 0.2521 | games 167680 | time 145s/300s
step 2630 | loss 0.2462 | games 168320 | time 145s/300s
step 2640 | loss 0.2228 | games 168960 | time 146s/300s
