Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3576 | games   640 | time 2s/300s
step 1120 | loss 0.2340 | games 71680 | time 103s/300s
step 1130 | loss 0.2281 | games 72320 | time 104s/300s
step 1140 | loss 0.1965 | games 72960 | time 105s/300s
step 1150 | loss 0.2171 | games 73600 | time 106s/300s
step 1160 | loss 0.1655 | games 74240 | time 107s/300s
step 1170 | loss 0.2324 | games 74880 | time 108s/300s
step 1180 | loss 0.2572 | games 75520 | time 109s/300s
step 1190 | loss 0.2461 | games 76160 | time 110s/300s
step 1200 | loss 0.2348 | games 76800 | time 111s/300s
step 1210 | loss 0.2656 | games 77440 | time 112s/300s
step 1220 | loss 0.2056 | games 78080 | time 112s/300s
step 1230 | loss 0.2319 | games 78720 | time 113s/300s
step 1240 | loss 0.2264 | games 79360 | time 114s/300s
step 1250 | loss 0.2174 | games 80000 | time 115s/300s
step 1260 | loss 0.2172 | games 80640 | time 116s/300s
step 1270 | loss 0.2262 | games 81280 | time 117s/300s
step 1280 | loss 0.2297 | games 81920 | time 118s/300s
step 1290 | loss 0.2249 | games 82560 | time 119s/300s
step 1300 | loss 0.2095 | games 83200 | time 120s/300s
step 1310 | loss 0.2021 | games 83840 | time 121s/300s
step 1320 | loss 0.2301 | games 84480 | time 122s/300s
step 1330 | loss 0.2216 | games 85120 | time 123s/300s
step 1340 | loss 0.2367 | games 85760 | time 124s/300s
step 1350 | loss 0.2264 | games 86400 | time 125s/300s
step 1360 | loss 0.2381 | games 87040 | time 126s/300s
step 1370 | loss 0.2490 | games 87680 | time 127s/300s
step 1380 | loss 0.2391 | games 88320 | time 128s/300s
step 1390 | loss 0.2120 | games 88960 | time 128s/300s
step 1400 | loss 0.2176 | games 89600 | time 129s/300s
step 1410 | loss 0.2113 | games 90240 | time 130s/300s
step 1420 | loss 0.2375 | games 90880 | time 131s/300s
step 1430 | loss 0.2503 | games 91520 | time 132s/300s
step 1440 | loss 0.2192 | games 92160 | time 133s/300s
step 1450 | loss 0.2328 | games 92800 | time 134s/300s
step 1460 | loss 0.2100 | games 93440 | time 135s/300s
step 1470 | loss 0.2165 | games 94080 | time 136s/300s
step 1480 | loss 0.2147 | games 94720 | time 137s/300s
step 1490 | loss 0.1827 | games 95360 | time 138s/300s
step 1500 | loss 0.2161 | games 96000 | time 139s/300s
step 1510 | loss 0.2119 | games 96640 | time 140s/300s
step 1520 | loss 0.2069 | games 97280 | time 141s/300s
step 1530 | loss 0.2067 | games 97920 | time 142s/300s
step 1540 | loss 0.2115 | games 98560 | time 143s/300s
step 1550 | loss 0.1969 | games 99200 | time 144s/300s
step 1560 | loss 0.2134 | games 99840 | time 145s/300s
step 1570 | loss 0.1812 | games 100480 | time 146s/300s
step 1580 | loss 0.1923 | games 101120 | time 147s/300s
step 1590 | loss 0.2130 | games 101760 | time 147s/300s
step 1600 | loss 0.2044 | games 102400 | time 148s/300s
step 1610 | loss 0.2411 | games 103040 | time 149s/300s
step 1620 | loss 0.2398 | games 103680 | time 150s/300s
step 1630 | loss 0.2416 | games 104320 | time 151s/300s
step 1640 | loss 0.2190 | games 104960 | time 152s/300s
step 1650 | loss 0.2138 | games 105600 | time 153s/300s
step 1660 | loss 0.2060 | games 106240 | time 154s/300s
step 1670 | loss 0.2331 | games 106880 | time 155s/300s
step 1680 | loss 0.2292 | games 107520 | time 156s/300s
step 1690 | loss 0.2182 | games 108160 | time 157s/300s
step 1700 | loss 0.2390 | games 108800 | time 158s/300s
step 1710 | loss 0.2669 | games 109440 | time 159s/300s
step 1720 | loss 0.2481 | games 110080 | time 160s/300s
step 1730 | loss 0.2594 | games 110720 | time 161s/300s
step 1740 | loss 0.2332 | games 111360 | time 162s/300s
step 1750 | loss 0.2523 | games 112000 | time 163s/300s
step 1760 | loss 0.2128 | games 112640 | time 164s/300s
step 1770 | loss 0.2295 | games 113280 | time 165s/300s
step 1780 | loss 0.2291 | games 113920 | time 166s/300s
step 1790 | loss 0.2480 | games 114560 | time 167s/300s
step 1800 | loss 0.2510 | games 115200 | time 168s/300s
step 1810 | loss 0.2155 | games 115840 | time 169s/300s
step 1820 | loss 0.2247 | games 116480 | time 170s/300s
step 1830 | loss 0.2399 | games 117120 | time 170s/300s
step 1840 | loss 0.2448 | games 117760 | time 171s/300s
step 1850 | loss 0.2377 | games 118400 | time 172s/300s
step 1860 | loss 0.2076 | games 119040 | time 173s/300s
step 1870 | loss 0.2196 | games 119680 | time 174s/300s
step 1880 | loss 0.2005 | games 120320 | time 175s/300s
step 1890 | loss 0.2351 | games 120960 | time 176s/300s
step 1900 | loss 0.2169 | games 121600 | time 177s/300s
step 1910 | loss 0.2217 | games 122240 | time 178s/300s
step 1920 | loss 0.2246 | games 122880 | time 179s/300s
step 1930 | loss 0.2088 | games 123520 | time 180s/300s
step 1940 | loss 0.2092 | games 124160 | time 181s/300s
step 1950 | loss 0.2081 | games 124800 | time 182s/300s
step 1960 | loss 0.1985 | games 125440 | time 183s/300s
step 1970 | loss 0.2446 | games 126080 | time 184s/300s
step 1980 | loss 0.2453 | games 126720 | time 185s/300s
step 1990 | loss 0.2230 | games 127360 | time 186s/300s
step 2000 | loss 0.1958 | games 128000 | time 187s/300s
step 2010 | loss 0.2092 | games 128640 | time 188s/300s
step 2020 | loss 0.2042 | games 129280 | time 189s/300s
step 2030 | loss 0.2161 | games 129920 | time 190s/300s
step 2040 | loss 0.2055 | games 130560 | time 191s/300s
step 2050 | loss 0.2082 | games 131200 | time 192s/300s
step 2060 | loss 0.2304 | games 131840 | time 193s/300s
step 2070 | loss 0.2036 | games 132480 | time 194s/300s
step 2080 | loss 0.2048 | games 133120 | time 195s/300s
step 2090 | loss 0.2126 | games 133760 | time 196s/300s
step 2100 | loss 0.2367 | games 134400 | time 197s/300s
step 2110 | loss 0.2293 | games 135040 | time 198s/300s
step 2120 | loss 0.2134 | games 135680 | time 199s/300s
step 2130 | loss 0.2190 | games 136320 | time 200s/300s
step 2140 | loss 0.2237 | games 136960 | time 201s/300s
step 2150 | loss 0.2383 | games 137600 | time 202s/300s
step 2160 | loss 0.2260 | games 138240 | time 203s/300s
step 2170 | loss 0.2181 | games 138880 | time 204s/300s
step 2180 | loss 0.1974 | games 139520 | time 205s/300s
step 2190 | loss 0.1935 | games 140160 | time 206s/300s
step 2200 | loss 0.2079 | games 140800 | time 207s/300s
step 2210 | loss 0.2455 | games 141440 | time 208s/300s
step 2220 | loss 0.2227 | games 142080 | time 209s/300s
step 2230 | loss 0.2208 | games 142720 | time 210s/300s
step 2240 | loss 0.2106 | games 143360 | time 211s/300s
step 2250 | loss 0.2020 | games 144000 | time 212s/300s
step 2260 | loss 0.1886 | games 144640 | time 213s/300s
step 2270 | loss 0.2189 | games 145280 | time 214s/300s
step 2280 | loss 0.1948 | games 145920 | time 215s/300s
step 2290 | loss 0.2292 | games 146560 | time 216s/300s
step 2300 | loss 0.2165 | games 147200 | time 216s/300s
step 2310 | loss 0.2364 | games 147840 | time 217s/300s
step 2320 | loss 0.2210 | games 148480 | time 218s/300s
step 2330 | loss 0.2258 | games 149120 | time 219s/300s
step 2340 | loss 0.2344 | games 149760 | time 220s/300s
step 2350 | loss 0.2417 | games 150400 | time 221s/300s
step 2360 | loss 0.2275 | games 151040 | time 222s/300s
step 2370 | loss 0.2409 | games 151680 | time 223s/300s
step 2380 | loss 0.2595 | games 152320 | time 224s/300s
step 2390 | loss 0.2255 | games 152960 | time 225s/300s
step 2400 | loss 0.2251 | games 153600 | time 226s/300s
step 2410 | loss 0.2259 | games 154240 | time 227s/300s
step 2420 | loss 0.2279 | games 154880 | time 228s/300s
step 2430 | loss 0.2275 | games 155520 | time 229s/300s
step 2440 | loss 0.1842 | games 156160 | time 230s/300s
step 2450 | loss 0.2198 | games 156800 | time 231s/300s
step 2460 | loss 0.2162 | games 157440 | time 232s/300s
step 2470 | loss 0.2419 | games 158080 | time 233s/300s
step 2480 | loss 0.2183 | games 158720 | time 234s/300s
step 2490 | loss 0.2115 | games 159360 | time 235s/300s
step 2500 | loss 0.2302 | games 160000 | time 236s/300s
step 2510 | loss 0.2085 | games 160640 | time 237s/300s
step 2520 | loss 0.2120 | games 161280 | time 238s/300s
step 2530 | loss 0.1903 | games 161920 | time 239s/300s
step 2540 | loss 0.2113 | games 162560 | time 240s/300s
step 2550 | loss 0.1790 | games 163200 | time 241s/300s
step 2560 | loss 0.2053 | games 163840 | time 242s/300s
step 2570 | loss 0.1956 | games 164480 | time 242s/300s
step 2580 | loss 0.1950 | games 165120 | time 243s/300s
