Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.3937 | games   640 | time 2s/300s
step  910 | loss 0.2095 | games 58240 | time 80s/300s
step  920 | loss 0.1762 | games 58880 | time 81s/300s
step  930 | loss 0.1875 | games 59520 | time 82s/300s
step  940 | loss 0.1857 | games 60160 | time 83s/300s
step  950 | loss 0.1836 | games 60800 | time 83s/300s
step  960 | loss 0.2178 | games 61440 | time 84s/300s
step  970 | loss 0.2113 | games 62080 | time 85s/300s
step  980 | loss 0.1353 | games 62720 | time 86s/300s
step  990 | loss 0.1469 | games 63360 | time 87s/300s
step 1000 | loss 0.1227 | games 64000 | time 87s/300s
step 1010 | loss 0.0760 | games 64640 | time 88s/300s
step 1020 | loss 0.1830 | games 65280 | time 89s/300s
step 1030 | loss 0.2111 | games 65920 | time 90s/300s
step 1040 | loss 0.1379 | games 66560 | time 91s/300s
step 1050 | loss 0.1878 | games 67200 | time 91s/300s
step 1060 | loss 0.1980 | games 67840 | time 92s/300s
step 1070 | loss 0.1922 | games 68480 | time 93s/300s
step 1080 | loss 0.2212 | games 69120 | time 94s/300s
step 1090 | loss 0.2017 | games 69760 | time 95s/300s
step 1100 | loss 0.2039 | games 70400 | time 95s/300s
step 1110 | loss 0.2038 | games 71040 | time 96s/300s
step 1120 | loss 0.1988 | games 71680 | time 97s/300s
step 1130 | loss 0.2091 | games 72320 | time 98s/300s
step 1140 | loss 0.1897 | games 72960 | time 99s/300s
step 1150 | loss 0.2255 | games 73600 | time 100s/300s
step 1160 | loss 0.2127 | games 74240 | time 100s/300s
step 1170 | loss 0.1960 | games 74880 | time 101s/300s
step 1180 | loss 0.2014 | games 75520 | time 102s/300s
step 1190 | loss 0.2284 | games 76160 | time 103s/300s
step 1200 | loss 0.2109 | games 76800 | time 104s/300s
step 1210 | loss 0.1856 | games 77440 | time 105s/300s
step 1220 | loss 0.2065 | games 78080 | time 105s/300s
step 1230 | loss 0.2365 | games 78720 | time 106s/300s
step 1240 | loss 0.1918 | games 79360 | time 107s/300s
step 1250 | loss 0.1825 | games 80000 | time 108s/300s
step 1260 | loss 0.1477 | games 80640 | time 109s/300s
step 1270 | loss 0.1358 | games 81280 | time 109s/300s
step 1280 | loss 0.1339 | games 81920 | time 110s/300s
step 1290 | loss 0.1382 | games 82560 | time 111s/300s
step 1300 | loss 0.1621 | games 83200 | time 112s/300s
step 1310 | loss 0.1869 | games 83840 | time 112s/300s
step 1320 | loss 0.1582 | games 84480 | time 113s/300s
step 1330 | loss 0.1370 | games 85120 | time 114s/300s
step 1340 | loss 0.1807 | games 85760 | time 115s/300s
step 1350 | loss 0.1809 | games 86400 | time 116s/300s
step 1360 | loss 0.1869 | games 87040 | time 117s/300s
step 1370 | loss 0.1775 | games 87680 | time 117s/300s
step 1380 | loss 0.2180 | games 88320 | time 118s/300s
step 1390 | loss 0.2113 | games 88960 | time 119s/300s
step 1400 | loss 0.1974 | games 89600 | time 120s/300s
step 1410 | loss 0.2206 | games 90240 | time 121s/300s
step 1420 | loss 0.1859 | games 90880 | time 122s/300s
step 1430 | loss 0.2007 | games 91520 | time 122s/300s
step 1440 | loss 0.1992 | games 92160 | time 123s/300s
step 1450 | loss 0.2018 | games 92800 | time 124s/300s
step 1460 | loss 0.1885 | games 93440 | time 125s/300s
step 1470 | loss 0.1958 | games 94080 | time 126s/300s
step 1480 | loss 0.1708 | games 94720 | time 126s/300s
step 1490 | loss 0.1619 | games 95360 | time 127s/300s
step 1500 | loss 0.1707 | games 96000 | time 128s/300s
step 1510 | loss 0.2004 | games 96640 | time 129s/300s
step 1520 | loss 0.2524 | games 97280 | time 130s/300s
step 1530 | loss 0.2325 | games 97920 | time 131s/300s
step 1540 | loss 0.2187 | games 98560 | time 132s/300s
step 1550 | loss 0.2152 | games 99200 | time 132s/300s
step 1560 | loss 0.1903 | games 99840 | time 133s/300s
step 1570 | loss 0.2134 | games 100480 | time 134s/300s
step 1580 | loss 0.2155 | games 101120 | time 135s/300s
step 1590 | loss 0.1996 | games 101760 | time 136s/300s
step 1600 | loss 0.2168 | games 102400 | time 137s/300s
step 1610 | loss 0.2126 | games 103040 | time 137s/300s
step 1620 | loss 0.1753 | games 103680 | time 138s/300s
step 1630 | loss 0.1573 | games 104320 | time 139s/300s
step 1640 | loss 0.2017 | games 104960 | time 140s/300s
step 1650 | loss 0.2133 | games 105600 | time 141s/300s
step 1660 | loss 0.1969 | games 106240 | time 142s/300s
step 1670 | loss 0.2116 | games 106880 | time 142s/300s
step 1680 | loss 0.1952 | games 107520 | time 143s/300s
step 1690 | loss 0.1172 | games 108160 | time 144s/300s
step 1700 | loss 0.1084 | games 108800 | time 145s/300s
step 1710 | loss 0.1685 | games 109440 | time 145s/300s
step 1720 | loss 0.1989 | games 110080 | time 146s/300s
step 1730 | loss 0.2129 | games 110720 | time 147s/300s
step 1740 | loss 0.2130 | games 111360 | time 148s/300s
step 1750 | loss 0.2324 | games 112000 | time 149s/300s
step 1760 | loss 0.2284 | games 112640 | time 150s/300s
step 1770 | loss 0.2530 | games 113280 | time 151s/300s
step 1780 | loss 0.1930 | games 113920 | time 151s/300s
step 1790 | loss 0.1931 | games 114560 | time 152s/300s
step 1800 | loss 0.2159 | games 115200 | time 153s/300s
step 1810 | loss 0.2158 | games 115840 | time 154s/300s
step 1820 | loss 0.2218 | games 116480 | time 155s/300s
step 1830 | loss 0.2352 | games 117120 | time 156s/300s
step 1840 | loss 0.2187 | games 117760 | time 157s/300s
step 1850 | loss 0.2342 | games 118400 | time 157s/300s
step 1860 | loss 0.2409 | games 119040 | time 158s/300s
step 1870 | loss 0.2378 | games 119680 | time 159s/300s
step 1880 | loss 0.2649 | games 120320 | time 160s/300s
step 1890 | loss 0.2480 | games 120960 | time 161s/300s
step 1900 | loss 0.2319 | games 121600 | time 162s/300s
step 1910 | loss 0.2042 | games 122240 | time 163s/300s
step 1920 | loss 0.2374 | games 122880 | time 164s/300s
step 1930 | loss 0.2416 | games 123520 | time 164s/300s
step 1940 | loss 0.2295 | games 124160 | time 165s/300s
step 1950 | loss 0.2339 | games 124800 | time 166s/300s
step 1960 | loss 0.2115 | games 125440 | time 167s/300s
step 1970 | loss 0.2252 | games 126080 | time 168s/300s
step 1980 | loss 0.2058 | games 126720 | time 169s/300s
step 1990 | loss 0.2029 | games 127360 | time 170s/300s
step 2000 | loss 0.2051 | games 128000 | time 171s/300s
step 2010 | loss 0.1787 | games 128640 | time 171s/300s
step 2020 | loss 0.2283 | games 129280 | time 172s/300s
step 2030 | loss 0.2565 | games 129920 | time 173s/300s
step 2040 | loss 0.2446 | games 130560 | time 174s/300s
step 2050 | loss 0.2328 | games 131200 | time 175s/300s
step 2060 | loss 0.2366 | games 131840 | time 176s/300s
step 2070 | loss 0.2415 | games 132480 | time 177s/300s
step 2080 | loss 0.2490 | games 133120 | time 178s/300s
step 2090 | loss 0.2576 | games 133760 | time 178s/300s
step 2100 | loss 0.2126 | games 134400 | time 179s/300s
step 2110 | loss 0.2123 | games 135040 | time 180s/300s
step 2120 | loss 0.2423 | games 135680 | time 181s/300s
step 2130 | loss 0.2205 | games 136320 | time 182s/300s
step 2140 | loss 0.2321 | games 136960 | time 183s/300s
step 2150 | loss 0.2160 | games 137600 | time 184s/300s
step 2160 | loss 0.2018 | games 138240 | time 185s/300s
step 2170 | loss 0.2219 | games 138880 | time 185s/300s
step 2180 | loss 0.2459 | games 139520 | time 186s/300s
step 2190 | loss 0.2294 | games 140160 | time 187s/300s
step 2200 | loss 0.2336 | games 140800 | time 188s/300s
step 2210 | loss 0.1985 | games 141440 | time 189s/300s
step 2220 | loss 0.2266 | games 142080 | time 190s/300s
step 2230 | loss 0.2382 | games 142720 | time 191s/300s
step 2240 | loss 0.2040 | games 143360 | time 192s/300s
step 2250 | loss 0.2168 | games 144000 | time 192s/300s
step 2260 | loss 0.2260 | games 144640 | time 193s/300s
step 2270 | loss 0.2225 | games 145280 | time 194s/300s
step 2280 | loss 0.1987 | games 145920 | time 195s/300s
step 2290 | loss 0.2266 | games 146560 | time 196s/300s
step 2300 | loss 0.2264 | games 147200 | time 197s/300s
step 2310 | loss 0.2250 | games 147840 | time 198s/300s
step 2320 | loss 0.2250 | games 148480 | time 199s/300s
step 2330 | loss 0.2249 | games 149120 | time 199s/300s
step 2340 | loss 0.2191 | games 149760 | time 200s/300s
step 2350 | loss 0.2160 | games 150400 | time 201s/300s
step 2360 | loss 0.2135 | games 151040 | time 202s/300s
step 2370 | loss 0.1916 | games 151680 | time 203s/300s
step 2380 | loss 0.2383 | games 152320 | time 204s/300s
step 2390 | loss 0.2003 | games 152960 | time 204s/300s
step 2400 | loss 0.1962 | games 153600 | time 205s/300s
step 2410 | loss 0.2120 | games 154240 | time 206s/300s
step 2420 | loss 0.2004 | games 154880 | time 207s/300s
step 2430 | loss 0.2056 | games 155520 | time 208s/300s
