Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5371 | games   640 | time 1s/300s
step  490 | loss 0.3143 | games 31360 | time 29s/300s
step  500 | loss 0.3163 | games 32000 | time 30s/300s
step  510 | loss 0.3259 | games 32640 | time 30s/300s
step  520 | loss 0.3066 | games 33280 | time 31s/300s
step  530 | loss 0.3222 | games 33920 | time 31s/300s
step  540 | loss 0.3520 | games 34560 | time 32s/300s
step  550 | loss 0.3415 | games 35200 | time 32s/300s
step  560 | loss 0.3140 | games 35840 | time 33s/300s
step  570 | loss 0.2966 | games 36480 | time 34s/300s
step  580 | loss 0.3251 | games 37120 | time 34s/300s
step  590 | loss 0.3599 | games 37760 | time 35s/300s
step  600 | loss 0.3340 | games 38400 | time 35s/300s
step  610 | loss 0.3200 | games 39040 | time 36s/300s
step  620 | loss 0.3154 | games 39680 | time 37s/300s
step  630 | loss 0.3082 | games 40320 | time 37s/300s
step  640 | loss 0.3125 | games 40960 | time 38s/300s
step  650 | loss 0.3167 | games 41600 | time 38s/300s
step  660 | loss 0.3325 | games 42240 | time 39s/300s
step  670 | loss 0.3409 | games 42880 | time 40s/300s
step  680 | loss 0.3344 | games 43520 | time 40s/300s
step  690 | loss 0.3279 | games 44160 | time 41s/300s
step  700 | loss 0.3182 | games 44800 | time 41s/300s
step  710 | loss 0.2956 | games 45440 | time 42s/300s
step  720 | loss 0.3028 | games 46080 | time 43s/300s
step  730 | loss 0.3093 | games 46720 | time 43s/300s
step  740 | loss 0.3207 | games 47360 | time 44s/300s
step  750 | loss 0.3303 | games 48000 | time 45s/300s
step  760 | loss 0.3450 | games 48640 | time 45s/300s
step  770 | loss 0.3127 | games 49280 | time 46s/300s
step  780 | loss 0.3487 | games 49920 | time 46s/300s
step  790 | loss 0.2984 | games 50560 | time 47s/300s
step  800 | loss 0.3068 | games 51200 | time 48s/300s
step  810 | loss 0.2920 | games 51840 | time 48s/300s
step  820 | loss 0.2985 | games 52480 | time 49s/300s
step  830 | loss 0.3063 | games 53120 | time 50s/300s
step  840 | loss 0.3224 | games 53760 | time 50s/300s
step  850 | loss 0.3041 | games 54400 | time 51s/300s
step  860 | loss 0.3115 | games 55040 | time 51s/300s
step  870 | loss 0.3191 | games 55680 | time 52s/300s
step  880 | loss 0.3407 | games 56320 | time 53s/300s
step  890 | loss 0.3266 | games 56960 | time 53s/300s
step  900 | loss 0.2906 | games 57600 | time 54s/300s
step  910 | loss 0.2942 | games 58240 | time 54s/300s
step  920 | loss 0.2994 | games 58880 | time 55s/300s
step  930 | loss 0.3077 | games 59520 | time 55s/300s
step  940 | loss 0.3257 | games 60160 | time 56s/300s
step  950 | loss 0.3240 | games 60800 | time 57s/300s
step  960 | loss 0.3160 | games 61440 | time 57s/300s
step  970 | loss 0.2911 | games 62080 | time 58s/300s
step  980 | loss 0.3010 | games 62720 | time 59s/300s
step  990 | loss 0.3056 | games 63360 | time 59s/300s
step 1000 | loss 0.2861 | games 64000 | time 60s/300s
