Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.4946 | games   640 | time 1s/300s
step  960 | loss 0.3316 | games 61440 | time 56s/300s
step  970 | loss 0.3645 | games 62080 | time 57s/300s
step  980 | loss 0.3237 | games 62720 | time 58s/300s
step  990 | loss 0.3354 | games 63360 | time 58s/300s
step 1000 | loss 0.3245 | games 64000 | time 59s/300s
step 1010 | loss 0.3605 | games 64640 | time 59s/300s
step 1020 | loss 0.3421 | games 65280 | time 60s/300s
step 1030 | loss 0.2573 | games 65920 | time 61s/300s
step 1040 | loss 0.2653 | games 66560 | time 61s/300s
step 1050 | loss 0.2956 | games 67200 | time 62s/300s
step 1060 | loss 0.3367 | games 67840 | time 62s/300s
step 1070 | loss 0.3361 | games 68480 | time 63s/300s
step 1080 | loss 0.3022 | games 69120 | time 63s/300s
step 1090 | loss 0.3263 | games 69760 | time 64s/300s
step 1100 | loss 0.3169 | games 70400 | time 64s/300s
step 1110 | loss 0.2971 | games 71040 | time 65s/300s
step 1120 | loss 0.3010 | games 71680 | time 66s/300s
step 1130 | loss 0.2806 | games 72320 | time 66s/300s
step 1140 | loss 0.2750 | games 72960 | time 67s/300s
step 1150 | loss 0.3037 | games 73600 | time 67s/300s
step 1160 | loss 0.3216 | games 74240 | time 68s/300s
step 1170 | loss 0.3146 | games 74880 | time 69s/300s
step 1180 | loss 0.2881 | games 75520 | time 69s/300s
step 1190 | loss 0.2766 | games 76160 | time 70s/300s
step 1200 | loss 0.2987 | games 76800 | time 70s/300s
step 1210 | loss 0.3367 | games 77440 | time 71s/300s
step 1220 | loss 0.3662 | games 78080 | time 71s/300s
step 1230 | loss 0.3252 | games 78720 | time 72s/300s
step 1240 | loss 0.3331 | games 79360 | time 73s/300s
step 1250 | loss 0.2913 | games 80000 | time 73s/300s
step 1260 | loss 0.2839 | games 80640 | time 74s/300s
step 1270 | loss 0.2711 | games 81280 | time 74s/300s
step 1280 | loss 0.2693 | games 81920 | time 75s/300s
step 1290 | loss 0.2824 | games 82560 | time 75s/300s
step 1300 | loss 0.3049 | games 83200 | time 76s/300s
step 1310 | loss 0.2857 | games 83840 | time 77s/300s
step 1320 | loss 0.2498 | games 84480 | time 77s/300s
step 1330 | loss 0.2607 | games 85120 | time 78s/300s
step 1340 | loss 0.2608 | games 85760 | time 78s/300s
step 1350 | loss 0.3119 | games 86400 | time 79s/300s
step 1360 | loss 0.2631 | games 87040 | time 79s/300s
step 1370 | loss 0.2908 | games 87680 | time 80s/300s
step 1380 | loss 0.2343 | games 88320 | time 81s/300s
step 1390 | loss 0.2323 | games 88960 | time 81s/300s
step 1400 | loss 0.2491 | games 89600 | time 82s/300s
step 1410 | loss 0.2618 | games 90240 | time 82s/300s
step 1420 | loss 0.2487 | games 90880 | time 83s/300s
step 1430 | loss 0.2606 | games 91520 | time 83s/300s
step 1440 | loss 0.2958 | games 92160 | time 84s/300s
step 1450 | loss 0.3292 | games 92800 | time 85s/300s
step 1460 | loss 0.2800 | games 93440 | time 85s/300s
step 1470 | loss 0.2726 | games 94080 | time 86s/300s
step 1480 | loss 0.2881 | games 94720 | time 86s/300s
step 1490 | loss 0.2823 | games 95360 | time 87s/300s
step 1500 | loss 0.2499 | games 96000 | time 87s/300s
step 1510 | loss 0.2596 | games 96640 | time 88s/300s
step 1520 | loss 0.2622 | games 97280 | time 88s/300s
step 1530 | loss 0.2719 | games 97920 | time 89s/300s
step 1540 | loss 0.2705 | games 98560 | time 89s/300s
step 1550 | loss 0.2954 | games 99200 | time 90s/300s
step 1560 | loss 0.3024 | games 99840 | time 90s/300s
step 1570 | loss 0.2601 | games 100480 | time 91s/300s
step 1580 | loss 0.2479 | games 101120 | time 92s/300s
step 1590 | loss 0.2614 | games 101760 | time 92s/300s
step 1600 | loss 0.2596 | games 102400 | time 93s/300s
step 1610 | loss 0.2910 | games 103040 | time 93s/300s
step 1620 | loss 0.3119 | games 103680 | time 94s/300s
step 1630 | loss 0.2720 | games 104320 | time 95s/300s
step 1640 | loss 0.3103 | games 104960 | time 95s/300s
step 1650 | loss 0.3303 | games 105600 | time 96s/300s
step 1660 | loss 0.3061 | games 106240 | time 96s/300s
step 1670 | loss 0.2738 | games 106880 | time 97s/300s
step 1680 | loss 0.2703 | games 107520 | time 98s/300s
step 1690 | loss 0.2352 | games 108160 | time 98s/300s
step 1700 | loss 0.2129 | games 108800 | time 99s/300s
step 1710 | loss 0.2616 | games 109440 | time 99s/300s
step 1720 | loss 0.2559 | games 110080 | time 100s/300s
step 1730 | loss 0.2838 | games 110720 | time 101s/300s
step 1740 | loss 0.2442 | games 111360 | time 101s/300s
step 1750 | loss 0.2404 | games 112000 | time 102s/300s
step 1760 | loss 0.2584 | games 112640 | time 102s/300s
step 1770 | loss 0.2939 | games 113280 | time 103s/300s
step 1780 | loss 0.2552 | games 113920 | time 104s/300s
step 1790 | loss 0.2867 | games 114560 | time 104s/300s
step 1800 | loss 0.3214 | games 115200 | time 105s/300s
step 1810 | loss 0.2834 | games 115840 | time 105s/300s
step 1820 | loss 0.2926 | games 116480 | time 106s/300s
step 1830 | loss 0.2881 | games 117120 | time 107s/300s
step 1840 | loss 0.3029 | games 117760 | time 107s/300s
step 1850 | loss 0.2930 | games 118400 | time 108s/300s
step 1860 | loss 0.2750 | games 119040 | time 108s/300s
step 1870 | loss 0.2923 | games 119680 | time 109s/300s
step 1880 | loss 0.2959 | games 120320 | time 110s/300s
step 1890 | loss 0.2923 | games 120960 | time 110s/300s
step 1900 | loss 0.3005 | games 121600 | time 111s/300s
step 1910 | loss 0.3007 | games 122240 | time 111s/300s
step 1920 | loss 0.2899 | games 122880 | time 112s/300s
step 1930 | loss 0.3437 | games 123520 | time 113s/300s
step 1940 | loss 0.3067 | games 124160 | time 113s/300s
step 1950 | loss 0.2890 | games 124800 | time 114s/300s
step 1960 | loss 0.3223 | games 125440 | time 115s/300s
step 1970 | loss 0.2776 | games 126080 | time 115s/300s
step 1980 | loss 0.2575 | games 126720 | time 116s/300s
step 1990 | loss 0.2499 | games 127360 | time 116s/300s
step 2000 | loss 0.2375 | games 128000 | time 117s/300s
step 2010 | loss 0.2391 | games 128640 | time 118s/300s
step 2020 | loss 0.2398 | games 129280 | time 118s/300s
step 2030 | loss 0.2273 | games 129920 | time 119s/300s
step 2040 | loss 0.2436 | games 130560 | time 120s/300s
step 2050 | loss 0.2432 | games 131200 | time 120s/300s
step 2060 | loss 0.2603 | games 131840 | time 121s/300s
step 2070 | loss 0.2389 | games 132480 | time 122s/300s
step 2080 | loss 0.2322 | games 133120 | time 122s/300s
step 2090 | loss 0.2724 | games 133760 | time 123s/300s
step 2100 | loss 0.2724 | games 134400 | time 123s/300s
step 2110 | loss 0.2663 | games 135040 | time 124s/300s
step 2120 | loss 0.2770 | games 135680 | time 125s/300s
step 2130 | loss 0.3033 | games 136320 | time 125s/300s
step 2140 | loss 0.2755 | games 136960 | time 126s/300s
step 2150 | loss 0.2816 | games 137600 | time 126s/300s
step 2160 | loss 0.3039 | games 138240 | time 127s/300s
step 2170 | loss 0.3006 | games 138880 | time 128s/300s
step 2180 | loss 0.3356 | games 139520 | time 128s/300s
step 2190 | loss 0.3348 | games 140160 | time 129s/300s
step 2200 | loss 0.2954 | games 140800 | time 129s/300s
step 2210 | loss 0.2802 | games 141440 | time 130s/300s
step 2220 | loss 0.2821 | games 142080 | time 130s/300s
step 2230 | loss 0.3164 | games 142720 | time 131s/300s
step 2240 | loss 0.3209 | games 143360 | time 132s/300s
step 2250 | loss 0.3355 | games 144000 | time 132s/300s
step 2260 | loss 0.3796 | games 144640 | time 133s/300s
step 2270 | loss 0.3306 | games 145280 | time 134s/300s
step 2280 | loss 0.3421 | games 145920 | time 134s/300s
step 2290 | loss 0.3408 | games 146560 | time 135s/300s
step 2300 | loss 0.2685 | games 147200 | time 135s/300s
step 2310 | loss 0.2470 | games 147840 | time 136s/300s
step 2320 | loss 0.2687 | games 148480 | time 137s/300s
step 2330 | loss 0.2611 | games 149120 | time 137s/300s
step 2340 | loss 0.2818 | games 149760 | time 138s/300s
step 2350 | loss 0.3034 | games 150400 | time 138s/300s
step 2360 | loss 0.3053 | games 151040 | time 139s/300s
step 2370 | loss 0.2825 | games 151680 | time 140s/300s
step 2380 | loss 0.3251 | games 152320 | time 140s/300s
step 2390 | loss 0.2984 | games 152960 | time 141s/300s
step 2400 | loss 0.2566 | games 153600 | time 141s/300s
step 2410 | loss 0.2536 | games 154240 | time 142s/300s
step 2420 | loss 0.3495 | games 154880 | time 142s/300s
step 2430 | loss 0.3562 | games 155520 | time 143s/300s
step 2440 | loss 0.2990 | games 156160 | time 144s/300s
step 2450 | loss 0.3252 | games 156800 | time 144s/300s
step 2460 | loss 0.2821 | games 157440 | time 145s/300s
step 2470 | loss 0.1777 | games 158080 | time 145s/300s
step 2480 | loss 0.2229 | games 158720 | time 146s/300s
step 2490 | loss 0.2357 | games 159360 | time 147s/300s
step 2500 | loss 0.2425 | games 160000 | time 147s/300s
step 2510 | loss 0.2731 | games 160640 | time 148s/300s
step 2520 | loss 0.2845 | games 161280 | time 149s/300s
step 2530 | loss 0.2986 | games 161920 | time 149s/300s
step 2540 | loss 0.2764 | games 162560 | time 150s/300s
step 2550 | loss 0.3180 | games 163200 | time 151s/300s
step 2560 | loss 0.2818 | games 163840 | time 151s/300s
step 2570 | loss 0.2774 | games 164480 | time 152s/300s
step 2580 | loss 0.3040 | games 165120 | time 152s/300s
step 2590 | loss 0.2539 | games 165760 | time 153s/300s
step 2600 | loss 0.2342 | games 166400 | time 154s/300s
step 2610 | loss 0.2277 | games 167040 | time 154s/300s
step 2620 | loss 0.2377 | games 167680 | time 155s/300s
step 2630 | loss 0.3006 | games 168320 | time 155s/300s
step 2640 | loss 0.2531 | games 168960 | time 156s/300s
step 2650 | loss 0.2023 | games 169600 | time 156s/300s
step 2660 | loss 0.2505 | games 170240 | time 157s/300s
