Device: cuda
Model parameters: 764,872
Time budget: 300s
Self-play ratio: 0.7
Exploration rate: 0.15 -> 0.02
Entropy coef: 0.03
Games per batch: 64

step   10 | loss 0.5230 | games   640 | time 1s/300s
step 1120 | loss 0.3225 | games 71680 | time 61s/300s
step 1130 | loss 0.3244 | games 72320 | time 62s/300s
step 1140 | loss 0.2938 | games 72960 | time 62s/300s
step 1150 | loss 0.2901 | games 73600 | time 63s/300s
step 1160 | loss 0.2934 | games 74240 | time 63s/300s
step 1170 | loss 0.2381 | games 74880 | time 64s/300s
step 1180 | loss 0.3043 | games 75520 | time 64s/300s
step 1190 | loss 0.2938 | games 76160 | time 65s/300s
step 1200 | loss 0.2664 | games 76800 | time 65s/300s
step 1210 | loss 0.2019 | games 77440 | time 66s/300s
step 1220 | loss 0.1799 | games 78080 | time 66s/300s
step 1230 | loss 0.2025 | games 78720 | time 67s/300s
step 1240 | loss 0.2415 | games 79360 | time 67s/300s
step 1250 | loss 0.2728 | games 80000 | time 68s/300s
step 1260 | loss 0.3066 | games 80640 | time 68s/300s
step 1270 | loss 0.3323 | games 81280 | time 69s/300s
step 1280 | loss 0.3257 | games 81920 | time 70s/300s
step 1290 | loss 0.3154 | games 82560 | time 70s/300s
step 1300 | loss 0.3383 | games 83200 | time 71s/300s
step 1310 | loss 0.2919 | games 83840 | time 72s/300s
step 1320 | loss 0.2841 | games 84480 | time 72s/300s
step 1330 | loss 0.3051 | games 85120 | time 73s/300s
step 1340 | loss 0.3123 | games 85760 | time 73s/300s
step 1350 | loss 0.3126 | games 86400 | time 74s/300s
step 1360 | loss 0.2013 | games 87040 | time 75s/300s
step 1370 | loss 0.2207 | games 87680 | time 75s/300s
step 1380 | loss 0.3031 | games 88320 | time 76s/300s
step 1390 | loss 0.3317 | games 88960 | time 77s/300s
step 1400 | loss 0.2978 | games 89600 | time 77s/300s
step 1410 | loss 0.3383 | games 90240 | time 78s/300s
step 1420 | loss 0.2625 | games 90880 | time 78s/300s
step 1430 | loss 0.1904 | games 91520 | time 79s/300s
step 1440 | loss 0.1884 | games 92160 | time 79s/300s
step 1450 | loss 0.1650 | games 92800 | time 80s/300s
step 1460 | loss 0.2267 | games 93440 | time 80s/300s
step 1470 | loss 0.2473 | games 94080 | time 81s/300s
step 1480 | loss 0.2293 | games 94720 | time 81s/300s
step 1490 | loss 0.3073 | games 95360 | time 82s/300s
step 1500 | loss 0.3387 | games 96000 | time 82s/300s
step 1510 | loss 0.2879 | games 96640 | time 83s/300s
step 1520 | loss 0.2949 | games 97280 | time 84s/300s
step 1530 | loss 0.2747 | games 97920 | time 84s/300s
step 1540 | loss 0.2777 | games 98560 | time 85s/300s
step 1550 | loss 0.2884 | games 99200 | time 85s/300s
step 1560 | loss 0.3207 | games 99840 | time 86s/300s
step 1570 | loss 0.1825 | games 100480 | time 86s/300s
step 1580 | loss 0.1474 | games 101120 | time 87s/300s
step 1590 | loss 0.1544 | games 101760 | time 87s/300s
step 1600 | loss 0.2343 | games 102400 | time 87s/300s
step 1610 | loss 0.2440 | games 103040 | time 88s/300s
step 1620 | loss 0.2746 | games 103680 | time 88s/300s
step 1630 | loss 0.3216 | games 104320 | time 89s/300s
step 1640 | loss 0.3355 | games 104960 | time 90s/300s
step 1650 | loss 0.3049 | games 105600 | time 90s/300s
step 1660 | loss 0.3097 | games 106240 | time 91s/300s
step 1670 | loss 0.2937 | games 106880 | time 91s/300s
step 1680 | loss 0.2728 | games 107520 | time 92s/300s
step 1690 | loss 0.2665 | games 108160 | time 93s/300s
